Name,Title,DateFrom,DateTo,Destination,Purpose,TravelAirGBP,TravelRailGBP,TravelCarTaxiBusGBP,SubsistenceAccommodationMealsGBP,OtherInclHospitalityGivenGBP,TotalGBP,Notes
HEATHER HANCOCK LVO DL,Chair of the FSA Board,2019-10-08,2019-10-09,London, Internal Meetings,,,,,87,87,
HEATHER HANCOCK LVO DL,Chair of the FSA Board,2019-11-04,2019-11-04,London, Internal Meetings,,282,15.76,6.1,,303.86,
HEATHER HANCOCK LVO DL,Chair of the FSA Board,2019-11-11,2019-11-12,London, Internal Meetings,,282,32.76,181.64,,496.4,
HEATHER HANCOCK LVO DL,Chair of the FSA Board,2019-11-19,2019-11-21,London, Internal Meetings,,282,15.76,381.5,,679.26,
HEATHER HANCOCK LVO DL,Chair of the FSA Board,2019-11-26,2019-11-28,London, Internal Meetings,,282,28.76,314.64,,625.4,
HEATHER HANCOCK LVO DL,Chair of the FSA Board,2019-12-02,2019-12-04,London,FSA Board Retreat,,282,15.76,300.4,,598.16,
HEATHER HANCOCK LVO DL,Chair of the FSA Board,2019-12-09,2019-12-10,London, Internal Meetings,,282,15.76,162.5,8,468.26,
DAVID BROOKS,Board Member,2019-10-14,2019-10-15,London,FSA Board Retreat,,,,129,,129,
DAVID BROOKS,Board Member,2019-10-22,2019-10-22,London,External Conference,,27.2,,,,27.2,
DAVID BROOKS,Board Member,2019-11-04,2019-11-04,Cardiff,External Conference,,128.5,,,,128.5,
DAVID BROOKS,Board Member,2019-11-12,2019-11-12,London,External Conference,,31.9,,,,31.9,
DAVID BROOKS,Board Member,2019-12-02,2019-12-03,London,FSA Board Retreat,,,40.5,112.5,,153,
MARGARET GILMORE,Board Member,2019-12-03,2019-12-06,London, Internal Meetings,,,,774,,774,
DR RUTH HUSSEY,Board Member for Wales and Chair of the Welsh Food Advisory Committee,2019-10-14,2019-10-14,London,FSA Board Retreat,,58.5,18,,,76.5,
DR RUTH HUSSEY,Board Member for Wales and Chair of the Welsh Food Advisory Committee,2019-10-22,2019-10-22,London, Internal Meetings,,136.8,,12,,148.8,
DR RUTH HUSSEY,Board Member for Wales and Chair of the Welsh Food Advisory Committee,2019-10-24,2019-10-24,Llandudno,External Conference,,,64.8,3.5,,68.3,
DR RUTH HUSSEY,Board Member for Wales and Chair of the Welsh Food Advisory Committee,2019-11-03,2019-11-04,Cardiff,External Conference,,56.95,,,,56.95,
DR RUTH HUSSEY,Board Member for Wales and Chair of the Welsh Food Advisory Committee,2019-11-13,2019-11-13,London,External Conference,,59.1,,12,,71.1,
DR RUTH HUSSEY,Board Member for Wales and Chair of the Welsh Food Advisory Committee,2019-12-02,2001-12-03,London,FSA Board Retreat,,59.15,,301.8,,360.95,
COLM MCKENNA,Board Member for Northern Ireland and Chair of the Northern Ireland Food Advisory Committee,2019-10-24,2019-10-24,Larne,External Conference,,,24.3,,,24.3,
COLM MCKENNA,Board Member for Northern Ireland and Chair of the Northern Ireland Food Advisory Committee,2019-11-11,2019-11-11,Belfast, Internal Meetings,,,5.4,,,5.4,
COLM MCKENNA,Board Member for Northern Ireland and Chair of the Northern Ireland Food Advisory Committee,2019-11-13,2019-11-13,London,External Conference,275.63,6.6,,,,282.23,
COLM MCKENNA,Board Member for Northern Ireland and Chair of the Northern Ireland Food Advisory Committee,2019-12-02,2019-12-02,Belfast, Internal Meetings,,,5.4,,,5.4,
COLM MCKENNA,Board Member for Northern Ireland and Chair of the Northern Ireland Food Advisory Committee,2019-12-03,2019-12-03,London,FSA Board Retreat,,3.3,,277.8,,281.1,
MARK ROLFE,Board Member,2019-12-04,2019-12-06,London, Internal Meetings,,82,,,,82,
MARY QUICKE,Board Member,2019-10-14,2019-10-14,London,FSA Board Retreat,,,,129,,129,
MARY QUICKE,Board Member,2019-12-02,2019-12-04,London,FSA Board Retreat,,116.75,4.95,112.5,19.2,253.4,
STUART REID,Board Member,2019-10-14,2019-10-14,London,FSA Board Retreat,,,,129,,129,
STUART REID,Board Member,2019-12-02,2019-12-04,London,FSA Board Retreat,,,,277.8,,277.8,
TIMOTHY RILEY,Board Member,2019-12-03,2019-12-06,London, Internal Meetings,,106.4,,774,,880.4,
